fun	freq
Rprof	6
layout.show	6
rbind.data.frame	6
tanh	6
line	6
comment	6
example	6
cbind2	6
getFunction	6
colorRamp	6
demo	6
setRefClass	6
file.show	6
determinant	6
embed	6
princomp	6
casefold	6
nextn	6
is.leaf	6
Im	6
numeric_version	6
extendrange	5
page	5
pnbinom	5
rpois	5
qqplot	5
dotchart	5
confint	5
edit	5
asin	5
erase.screen	5
pipe	5
NextMethod	5
traceback	5
cm.colors	5
R.Version	5
yinch	5
as.hclust	5
summary.factor	5
contr.treatment	5
biplot	5
cumprod	5
contourLines	5
select.list	5
sys.nframe	5
file.choose	5
frequency	5
qr.qty	5
matchSignature	5
df.residual	5
debug	4
unsplit	4
utf8ToInt	4
sample.int	4
power	4
splinefun	4
warnings	4
showMethods	4
sys.frames	4
tan	4
rect.hclust	4
lsfit	4
kappa	4
qr.solve	4
aov	4
find	4
psigamma	4
xinch	4
loadNamespace	4
ppois	4
nlminb	4
format.Date	4
Stangle	4
rlnorm	4
stack	4
getFromNamespace	4
SSlogis	4
rmultinom	4
is.recursive	4
lockBinding	4
qr.resid	4
model.extract	4
smoothEnds	4
dmultinom	4
psignrank	4
hasMethod	4
memory.size	4
R.home	3
namespaceExport	3
format.hexmode	3
existsMethod	3
simpleError	3
read.fwf	3
poisson	3
qunif	3
smooth	3
.Primitive	3
is.object	3
getExportedValue	3
acos	3
rapply	3
type.convert	3
recordPlot	3
replayPlot	3
AIC	3
environmentIsLocked	3
plogis	3
savePlot	3
Conj	3
cancor	3
acf	3
.readRDS	3
toBibtex	3
pushBack	3
bw.SJ	3
plclust	3
persp	3
.hasSlot	3
BIC	3
unstack	3
is.ordered	3
oldClass	3
strtoi	3
write.dcf	3
getAllSuperClasses	3
Negate	3
setNames	3
dev.list	3
stepfun	3
getMethods	3
unlockBinding	3
Find	3
is.real	3
Position	3
makeActiveBinding	3
suppressPackageStartupMessages	3
glm.control	3
el	3
.set_row_names	3
power.t.test	3
hcl	3
bindingIsLocked	3
grconvertY	2
print.data.frame	2
Sys.getpid	2
profile	2
ftable	2
droplevels	2
Sys.glob	2
filled.contour	2
is.language	2
rawToBits	2
isVirtualClass	2
CRAN.packages	2
bzfile	2
screeplot	2
relevel	2
atanh	2
ts	2
help.start	2
forwardsolve	2
ansari.test	2
fivenum	2
addmargins	2
supsmu	2
summary.matrix	2
matpoints	2
reshape	2
slice.index	2
delete.response	2
intToUtf8	2
is.empty.model	2
packageVersion	2
dfbetas	2
rf	2
stem	2
dexp	2
qexp	2
fix	2
RSiteSearch	2
ar	2
sunflowerplot	2
getCRANmirrors	2
count.fields	2
deviance	2
rstandard	2
rstudent	2
convertColor	2
ps.options	2
untrace	2
isClassDef	2
serialize	2
as.POSIXlt	2
is.name	2
delayedAssign	2
dendrapply	2
flush	2
isClassUnion	2
sys.calls	2
strptime	2
coplot	2
plot.xy	2
n2mfrow	2
dev.size	2
as.function	2
diff.default	2
dwilcox	2
dsignrank	2
intToBits	2
gzcon	2
na.fail	2
setHook	2
packageEvent	2
file.symlink	2
getGroup	2
dev.next	2
removeGeneric	2
rematchDefinition	1
bw.nrd0	1
findMethodSignatures	1
environmentName	1
make.socket	1
write.socket	1
read.socket	1
simpleWarning	1
merge.data.frame	1
Sys.unsetenv	1
dev.prev	1
Sys.chmod	1
update.packages	1
qr.R	1
preplot	1
Vectorize	1
package.contents	1
textConnectionValue	1
RNGkind	1
duplicated.array	1
dump	1
summaryRprof	1
acosh	1
cosh	1
file_test	1
vapply	1
.saveRDS	1
co.intervals	1
upgrade	1
summary.lm	1
na.action	1
URLdecode	1
influence.measures	1
conditionCall	1
methodSignatureMatrix	1
aggregate.data.frame	1
showConnections	1
diffinv	1
.checkMFClasses	1
boxplot.stats	1
prompt	1
formatDL	1
predict.lm	1
rbeta	1
browseEnv	1
arima0	1
is.table	1
old.packages	1
isSymmetric.matrix	1
pairs.default	1
panel.smooth	1
as.data.frame.table	1
parseNamespaceFile	1
RNGversion	1
rgeom	1
beta	1
invokeRestart	1
as.raster	1
chull	1
findFunction	1
isSeekable	1
.getXlevels	1
selfStart	1
sortedXyData	1
deriv3	1
linearizeMlist	1
contr.helmert	1
toLatex	1
conflicts	1
getAnywhere	1
symnum	1
pdf.options	1
as.ordered	1
plot.density	1
isoreg	1
var.test	1
aggregate.ts	1
packageSlot	1
format.info	1
encodeString	1
loess.smooth	1
coerce	1
qr.qy	1
nls.control	1
zapsmall	1
pexp	1
localeToCharset	1
RweaveLatexSetup	1
RweaveLatexOptions	1
RweaveLatexFinish	1
makeRweaveLatexCodeRunner	1
qbinom	1
showDefault	1
terms.formula	1
nclass.Sturges	1
glob2rx	1
subset.data.frame	1
qwilcox	1
qsignrank	1
memory.limit	1
socketConnection	1
prettyNum	1
Summary	1
deriv	1
ngettext	1
allNames	1
is.symbol	1
split.default	1
category	1
manglePackageName	1
gray.colors	1
getClasses	1
is.package_version	1
.row_names_info	1
browseVignettes	1
besselK	1
bw.nrd	1
factanal	1
cov.wt	1
